Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
106000,1.3946633,0.00029999233,0.0161182,0.0,0.0,690.0
107000,1.3944515,0.00029999233,0.018746322,0.0,0.0,690.0
108000,1.3940744,0.00029999233,0.0121741,0.0,0.0,690.0
109000,1.393427,0.00029999227,0.011084048,0.7142857142857143,0.7142857142857143,680.5
110000,1.3926377,0.0002999922,0.010682786,0.0,0.0,690.0
111000,1.3921922,0.0002999922,0.012950775,0.0,0.0,690.0
112000,1.3923067,0.00029999216,0.009354674,0.0,0.0,690.0
113000,1.3923002,0.0002999921,0.00877045,0.7142857142857143,0.7142857142857143,646.9285714285714
114000,1.3917072,0.0002999921,0.008050493,0.0,0.0,690.0
115000,1.3913721,0.0002999921,0.0070930384,0.0,0.0,690.0
116000,1.3916713,0.00029999207,0.008940068,0.6666666666666666,0.6666666666666666,648.4
117000,1.3923153,0.000299992,0.004299845,0.0,0.0,690.0
118000,1.3927116,0.000299992,0.010074969,1.7647058823529411,1.7647058823529411,579.2941176470588
119000,1.3927885,0.00029999198,0.027917841,0.0,0.0,690.0
120000,1.3937767,0.00029999195,0.01586445,0.0,0.0,690.0
121000,1.3938872,0.0002999919,0.021981206,0.6666666666666666,0.6666666666666666,646.8666666666667
122000,1.393989,0.00029999184,0.025796894,0.0,0.0,690.0
123000,1.3942459,0.00029999184,0.042388536,0.625,0.625,651.8125
124000,1.3945539,0.00029999184,0.031808812,0.0,0.0,690.0
125000,1.3945783,0.00029999172,0.03735239,0.0,0.0,690.0
126000,1.3939785,0.00029999172,0.032614633,0.0,0.0,690.0
127000,1.392791,0.00029999172,0.021698523,0.0,0.0,690.0
128000,1.3920027,0.0002999916,0.025307046,0.6666666666666666,0.6666666666666666,650.5333333333333
129000,1.3917363,0.0002999916,0.018110296,0.0,0.0,690.0
130000,1.3920932,0.0002999916,0.030776031,0.0,0.0,690.0
131000,1.3917981,0.0002999916,0.01666773,0.0,0.0,690.0
132000,1.3911641,0.00029999155,0.016755084,0.625,0.625,654.875
133000,1.3910942,0.00029999155,0.016441325,0.0,0.0,690.0
134000,1.3919842,0.00029999155,0.009405387,0.0,0.0,690.0
135000,1.3929228,0.0002999915,0.012600919,0.625,0.625,650.5625
136000,1.3927993,0.0002999915,0.01633737,0.0,0.0,690.0
137000,1.3929383,0.00029999143,0.02196304,0.0,0.0,690.0
138000,1.3939687,0.00029999137,0.018239658,0.9090909090909091,0.9090909090909091,631.6363636363636
139000,1.3947319,0.00029999137,0.031245947,0.7142857142857143,0.7142857142857143,646.4285714285714
140000,1.3950218,0.0002999913,0.0687899,1.25,1.25,615.4375
141000,1.3948821,0.0002999913,0.05661812,0.0,0.0,690.0
142000,1.3944486,0.0002999913,0.063297026,0.0,0.0,690.0
143000,1.3940299,0.0002999912,0.04679434,0.0,0.0,690.0
144000,1.3937497,0.0002999912,0.04422234,1.6666666666666667,1.6666666666666667,581.5
145000,1.3936383,0.00029999114,0.091557644,0.8333333333333334,0.8333333333333334,636.1666666666666
146000,1.393973,0.00029999114,0.06998456,0.0,0.0,690.0
147000,1.3945166,0.00029999114,0.08775529,1.875,1.875,585.8125
148000,1.3945339,0.00029999108,0.07375225,0.0,0.0,690.0
149000,1.3941916,0.00029999108,0.069663204,1.25,1.25,638.75
150000,1.3942603,0.00029999108,0.073907144,0.7692307692307693,0.7692307692307693,649.5384615384615
151000,1.3941225,0.00029999108,0.102088146,2.6666666666666665,2.6666666666666665,523.8
152000,1.3946875,0.000299991,0.141588,0.6666666666666666,0.6666666666666666,647.5333333333333
153000,1.3951586,0.00029999096,0.12348825,1.4285714285714286,1.4285714285714286,600.7142857142857
154000,1.395703,0.00029999096,0.15786633,1.1764705882352942,1.1764705882352942,616.6470588235294
155000,1.3961511,0.0002999909,0.13306482,1.6666666666666667,1.6666666666666667,592.3333333333334
156000,1.3963076,0.00029999085,0.11003066,0.625,0.625,650.25
157000,1.396068,0.00029999085,0.13786644,0.7692307692307693,0.7692307692307693,639.8461538461538
158000,1.3956614,0.00029999076,0.08955977,0.8333333333333334,0.8333333333333334,635.4166666666666
159000,1.3962715,0.0002999907,0.15686959,1.1764705882352942,1.1764705882352942,618.4117647058823
160000,1.3969508,0.0002999907,0.13002752,0.0,0.0,690.0
161000,1.3965538,0.00029999064,0.12286737,0.0,0.0,690.0
162000,1.396292,0.00029999064,0.10604083,0.0,0.0,690.0
163000,1.3962785,0.00029999064,0.07274141,0.0,0.0,690.0
164000,1.3960086,0.00029999058,0.07656709,0.0,0.0,690.0
165000,1.3955014,0.00029999058,0.048347536,0.0,0.0,690.0
166000,1.3953198,0.00029999058,0.05003,0.0,0.0,690.0
167000,1.3949692,0.00029999056,0.032268602,0.0,0.0,690.0
168000,1.394156,0.00029999047,0.028972208,0.0,0.0,690.0
169000,1.3947487,0.00029999047,0.02939295,0.8333333333333334,0.8333333333333334,643.9166666666666
170000,1.3943794,0.00029999047,0.018090013,0.0,0.0,690.0
171000,1.3941433,0.00029999038,0.021535575,0.7142857142857143,0.7142857142857143,641.7857142857143
172000,1.394287,0.00029999035,0.012660536,0.0,0.0,690.0
173000,1.394658,0.00029999035,0.02340186,0.625,0.625,652.6875
174000,1.3950328,0.00029999026,0.01498158,0.0,0.0,690.0
175000,1.3950309,0.00029999024,0.019990839,0.6666666666666666,0.6666666666666666,647.2666666666667
176000,1.3952771,0.00029999024,0.03185309,0.0,0.0,690.0
177000,1.3961904,0.0002999902,0.010376801,0.0,0.0,690.0
178000,1.3963614,0.00029999018,0.019489408,0.0,0.0,690.0
179000,1.3960774,0.00029999018,0.0072222017,0.0,0.0,690.0
180000,1.3956989,0.00029999015,0.016162056,0.5882352941176471,0.5882352941176471,651.7058823529412
181000,1.3956745,0.00029999012,0.024976673,0.0,0.0,690.0
182000,1.3962573,0.00029999012,0.01376555,0.6666666666666666,0.6666666666666666,647.0666666666667
183000,1.3963555,0.00029999006,0.015978148,0.0,0.0,690.0
184000,1.396681,0.00029999,0.018926643,0.0,0.0,690.0
185000,1.3973413,0.00029999,0.026020994,0.0,0.0,690.0
186000,1.397742,0.00029998997,0.0126469685,0.0,0.0,690.0
187000,1.397958,0.0002999899,0.026319744,0.625,0.625,658.75
188000,1.3978528,0.0002999899,0.03555824,0.0,0.0,690.0
189000,1.3976291,0.0002999899,0.027714552,0.0,0.0,690.0
190000,1.397825,0.00029998977,0.030481806,1.25,1.25,610.875
191000,1.3976799,0.00029998977,0.022410406,0.0,0.0,690.0
192000,1.3980715,0.00029998977,0.029746458,1.1111111111111112,1.1111111111111112,639.1111111111111
193000,1.397842,0.00029998977,0.03033897,2.3076923076923075,2.3076923076923075,542.3076923076923
194000,1.3975337,0.0002999897,0.034252267,0.625,0.625,667.6875
195000,1.3972695,0.0002999897,0.034683835,0.0,0.0,690.0
196000,1.3975844,0.0002999897,0.027985955,0.0,0.0,690.0
197000,1.3985232,0.00029998965,0.03557057,0.7142857142857143,0.7142857142857143,641.9285714285714
198000,1.3990896,0.00029998962,0.018186955,0.0,0.0,690.0
199000,1.3985087,0.0002999896,0.044201557,1.0526315789473684,1.0526315789473684,631.9473684210526
200000,1.3979685,0.0002999895,0.06377098,0.0,0.0,690.0
201000,1.3965324,0.0002999895,0.054505363,0.0,0.0,690.0
202000,1.395747,0.00029998945,0.05330307,0.0,0.0,690.0
203000,1.3952202,0.0002999894,0.035176393,0.0,0.0,690.0
204000,1.3951665,0.0002999894,0.038993616,0.0,0.0,690.0
205000,1.3954968,0.00029998933,0.02249347,0.0,0.0,690.0
206000,1.3954358,0.00029998927,0.021707987,0.0,0.0,690.0
207000,1.3949693,0.00029998927,0.018410305,0.0,0.0,690.0
208000,1.3954808,0.00029998927,0.013192434,0.0,0.0,690.0
209000,1.3958242,0.00029998925,0.0135035245,0.0,0.0,690.0
210000,1.3957058,0.00029998922,0.007940363,0.0,0.0,690.0
211000,1.3960153,0.00029998922,0.01000579,0.0,0.0,690.0
212000,1.3967916,0.0002999892,0.005326074,0.0,0.0,690.0
213000,1.3971999,0.00029998916,0.009792345,0.5555555555555556,0.5555555555555556,652.6666666666666
214000,1.3963579,0.00029998913,0.011516855,0.9090909090909091,0.9090909090909091,633.7272727272727
215000,1.3956038,0.00029998907,0.0019908966,0.0,0.0,690.0
216000,1.3952498,0.00029998904,0.006493486,0.0,0.0,690.0
217000,1.3940926,0.000299989,-0.004139458,0.0,0.0,690.0
218000,1.3935367,0.00029998898,0.002987535,0.0,0.0,690.0
219000,1.3929229,0.00029998898,-0.0027533227,0.0,0.0,690.0
220000,1.3921658,0.00029998893,0.0060850773,0.5882352941176471,0.5882352941176471,650.7647058823529
221000,1.3914495,0.00029998887,0.021489449,0.8333333333333334,0.8333333333333334,642.0
222000,1.3907403,0.00029998887,0.028964318,0.7692307692307693,0.7692307692307693,678.0769230769231
223000,1.3899652,0.0002999888,0.05467933,1.25,1.25,608.0
224000,1.389304,0.0002999888,0.043611333,0.0,0.0,690.0
225000,1.3891506,0.0002999888,0.05986587,0.5263157894736842,0.5263157894736842,657.0
226000,1.3894914,0.00029998875,0.034112208,0.0,0.0,690.0
227000,1.3895695,0.00029998875,0.04005439,0.0,0.0,690.0
228000,1.3893156,0.00029998875,0.053408097,3.5714285714285716,3.5714285714285716,505.92857142857144
229000,1.3888978,0.00029998872,0.039805442,0.8333333333333334,0.8333333333333334,646.1666666666666
230000,1.3883816,0.00029998863,0.07220839,0.625,0.625,671.125
231000,1.3883699,0.00029998863,0.06605113,0.8333333333333334,0.8333333333333334,636.0
232000,1.3877088,0.0002999886,0.06926843,0.0,0.0,690.0
233000,1.3873764,0.00029998858,0.06065
