Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
64000,1.4109482,0.00029761877,0.014916231,0.00020859085,0.02318297,0.0,0.0,1477.0
65000,1.4113603,0.00029758128,0.031153014,0.07723467,0.021699531,1.4285714285714286,1.4285714285714286,1314.5714285714287
66000,1.4118105,0.0002975438,0.021434695,0.00048669215,0.01767646,0.0,0.0,1477.0
67000,1.4115754,0.0002975063,0.019614842,None,None,0.0,0.0,1477.0
68000,1.4093404,0.0002974688,0.025513276,0.00023661923,0.027615717,0.0,0.0,1477.0
69000,1.4082215,0.00029743128,0.017499752,0.0001344923,0.021326346,0.0,0.0,1477.0
70000,1.4076762,0.0002973938,0.013220924,6.755737e-05,0.01907981,0.0,0.0,1477.0
71000,1.4075621,0.0002973563,0.013459706,3.2136577e-05,0.027609097,2.2222222222222223,2.2222222222222223,1151.5555555555557
72000,1.4077166,0.0002973188,0.024792247,0.10684267,0.022023728,0.0,0.0,1477.0
73000,1.407896,0.00029728125,0.037897643,0.00039979743,0.02494785,0.0,0.0,1477.0
74000,1.4077815,0.00029724377,0.039828733,0.00012639006,0.020571481,0.0,0.0,1477.0
75000,1.4069993,0.00029720628,0.034770314,None,None,0.0,0.0,1477.0
76000,1.4069241,0.0002971688,0.023486359,5.2437423e-05,0.028993782,0.0,0.0,1477.0
77000,1.4070964,0.0002971313,0.02305609,3.1282845e-05,0.027915992,0.0,0.0,1477.0
78000,1.4066328,0.00029709382,0.020919165,2.2901551e-05,0.02329774,1.4285714285714286,1.4285714285714286,1280.4285714285713
79000,1.4061738,0.00029705625,0.025355887,0.081013285,0.029636482,0.0,0.0,1477.0
80000,1.4057121,0.00029701876,0.03824943,0.00039754144,0.0219189,0.0,0.0,1477.0
81000,1.405403,0.00029698128,0.024464885,0.0001446724,0.028635925,0.0,0.0,1477.0
82000,1.405321,0.0002969438,0.022100624,4.5822602e-05,0.02906684,0.0,0.0,1477.0
83000,1.404307,0.0002969063,0.024510758,None,None,1.25,1.25,1312.375
84000,1.4037622,0.0002968688,0.021990879,0.080091946,0.018920308,0.0,0.0,1477.0
85000,1.4034529,0.0002968313,0.01606684,0.0004983412,0.030552108,0.0,0.0,1477.0
86000,1.4025342,0.00029679382,0.026756056,0.00024405755,0.027028577,1.25,1.25,1302.125
87000,1.4020066,0.0002967563,0.03489009,0.069031864,0.028961657,1.4285714285714286,1.4285714285714286,1284.2857142857142
88000,1.4022785,0.00029671882,0.03909932,0.018049521,0.02319188,0.0,0.0,1477.0
89000,1.4027439,0.00029668128,0.040493183,0.00015064026,0.028273722,0.0,0.0,1477.0
90000,1.4023534,0.0002966438,0.027620392,6.252039e-05,0.027956838,1.4285714285714286,1.4285714285714286,1273.7142857142858
91000,1.4011097,0.0002966063,0.026667112,0.08017354,0.028120358,0.0,0.0,1477.0
92000,1.400624,0.0002965688,0.03525974,None,None,1.25,1.25,1304.375
93000,1.3997406,0.0002965313,0.03417865,0.07790391,0.02298326,0.0,0.0,1477.0
94000,1.399534,0.0002964938,0.028663656,0.0007153005,0.02619963,0.0,0.0,1477.0
95000,1.399228,0.0002964563,0.032309867,0.00028538748,0.024064664,1.25,1.25,1298.5
96000,1.3990873,0.0002964188,0.032566596,0.07829886,0.019840669,0.0,0.0,1477.0
97000,1.3991581,0.0002963813,0.03372922,0.07043656,0.024735052,1.4285714285714286,1.4285714285714286,1269.142857142857
98000,1.3990386,0.00029634382,0.031776708,0.0008817191,0.024520036,0.0,0.0,1477.0
99000,1.3983799,0.0002963063,0.011947573,0.0003068969,0.023228467,0.0,0.0,1477.0
100000,1.3980402,0.0002962688,0.014390445,None,None,1.6666666666666667,1.6666666666666667,1244.6666666666667
101000,1.3979602,0.00029623127,0.034373235,0.07190903,0.020232204,0.0,0.0,1477.0
102000,1.3969235,0.0002961938,0.018181317,0.00068069645,0.025724169,0.0,0.0,1477.0
103000,1.396881,0.0002961563,0.0230354,0.00030895436,0.023064408,0.0,0.0,1477.0
104000,1.3971099,0.0002961188,0.020129979,0.00018167155,0.02588789,0.0,0.0,1477.0
105000,1.3972995,0.0002960813,0.000757612,0.00011359169,0.017794993,0.0,0.0,1477.0
106000,1.3977258,0.0002960438,0.0077024302,9.020453e-05,0.024182225,0.0,0.0,1477.0
