Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,0.539817,0.00020220623,3.9520035,9.444444444444445,9.444444444444445,113.4074074074074
2000,0.5397307,0.00020216874,4.121909,9.23076923076923,9.23076923076923,138.8
3000,0.5399712,0.00020213122,3.5185947,8.846153846153847,8.846153846153847,194.48076923076923
4000,0.5398398,0.00020209372,4.083807,9.454545454545455,9.454545454545455,144.8
5000,0.53953344,0.00020205621,3.5493112,8.653846153846153,8.653846153846153,182.82692307692307
6000,0.5393205,0.00020201872,3.611249,9.038461538461538,9.038461538461538,157.8846153846154
7000,0.5388961,0.00020198122,2.6055202,7.037037037037037,7.037037037037037,300.77777777777777
8000,0.5377026,0.00020194372,3.1535628,8.048780487804878,8.048780487804878,231.70731707317074
9000,0.53684664,0.00020190622,3.3352242,8.461538461538462,8.461538461538462,179.57692307692307
10000,0.5361348,0.00020186871,3.493745,8.49056603773585,8.49056603773585,174.0943396226415
11000,0.5359315,0.00020183122,3.3310816,8.571428571428571,8.571428571428571,182.12244897959184
12000,0.53561044,0.00020179374,2.9675033,8.333333333333334,8.333333333333334,199.02380952380952
13000,0.5350542,0.00020175621,3.277451,8.91304347826087,8.91304347826087,161.8695652173913
14000,0.53461874,0.00020171872,3.3586695,8.979591836734693,8.979591836734693,205.89795918367346
15000,0.53457654,0.00020168122,4.079553,9.655172413793103,9.655172413793103,140.3793103448276
16000,0.53404075,0.00020164372,3.6794615,8.679245283018869,8.679245283018869,175.50943396226415
17000,0.53328305,0.00020160622,3.2060685,9.30232558139535,9.30232558139535,178.74418604651163
18000,0.5327101,0.00020156872,3.6267886,8.775510204081632,8.775510204081632,202.51020408163265
19000,0.53201354,0.00020153123,4.278005,9.552238805970148,9.552238805970148,133.98507462686567
20000,0.53196955,0.00020149372,4.385848,9.305555555555555,9.305555555555555,128.69444444444446
21000,0.5322824,0.00020145622,4.11138,9.384615384615385,9.384615384615385,128.4923076923077
22000,0.53199685,0.00020141873,4.270751,9.43661971830986,9.43661971830986,126.40845070422536
23000,0.53113836,0.00020138123,4.3638034,9.295774647887324,9.295774647887324,127.15492957746478
24000,0.53060836,0.00020134372,4.4393373,9.295774647887324,9.295774647887324,140.9718309859155
25000,0.53023744,0.00020130622,2.8151562,8.421052631578947,8.421052631578947,188.60526315789474
26000,0.52984613,0.00020126873,3.4068925,8.627450980392156,8.627450980392156,158.3921568627451
27000,0.52928144,0.00020123123,3.1260967,8.13953488372093,8.13953488372093,216.69767441860466
28000,0.5287742,0.00020119372,2.594792,8.064516129032258,8.064516129032258,247.51612903225808
29000,0.52837014,0.00020115623,3.0189254,8.0,8.0,241.825
30000,0.5278503,0.00020111872,2.7545588,8.25,8.25,227.25
31000,0.5275183,0.00020108122,2.090169,6.666666666666667,6.666666666666667,338.4583333333333
32000,0.5273101,0.00020104373,2.1545997,6.785714285714286,6.785714285714286,344.35714285714283
33000,0.5266359,0.00020100622,2.3343804,6.896551724137931,6.896551724137931,343.51724137931035
34000,0.5261107,0.00020096873,1.7122512,7.368421052631579,7.368421052631579,399.2631578947368
35000,0.5260426,0.00020093122,2.036873,6.666666666666667,6.666666666666667,397.75
36000,0.5260656,0.00020089372,2.3875449,7.857142857142857,7.857142857142857,302.7142857142857
37000,0.5257215,0.00020085623,3.314667,8.653846153846153,8.653846153846153,189.44230769230768
38000,0.5249458,0.00020081871,3.7904766,9.310344827586206,9.310344827586206,138.39655172413794
39000,0.52456677,0.00020078123,3.3452942,9.23076923076923,9.23076923076923,157.21153846153845
40000,0.5238872,0.00020074373,4.2754793,9.324324324324325,9.324324324324325,144.04054054054055
41000,0.5241601,0.00020070621,3.5939205,9.180327868852459,9.180327868852459,132.2295081967213
42000,0.52452177,0.00020066873,3.779856,9.365079365079366,9.365079365079366,126.6984126984127
43000,0.5247508,0.00020063123,3.0544558,8.64864864864865,8.64864864864865,235.32432432432432
44000,0.5246209,0.00020059371,2.7585945,8.61111111111111,8.61111111111111,257.02777777777777
45000,0.5241202,0.00020055621,2.2049246,7.391304347826087,7.391304347826087,367.7391304347826
46000,0.52371085,0.00020051873,2.735841,8.235294117647058,8.235294117647058,269.70588235294116
47000,0.5231289,0.00020048121,2.52703,8.125,8.125,270.0625
48000,0.52293307,0.00020044373,3.4495866,8.604651162790697,8.604651162790697,211.62790697674419
49000,0.5225243,0.00020040623,2.7179737,8.461538461538462,8.461538461538462,233.17948717948718
50000,0.5222728,0.00020036871,3.174058,9.285714285714286,9.285714285714286,195.07142857142858
51000,0.5223208,0.00020033123,3.6271775,8.846153846153847,8.846153846153847,186.75
52000,0.5225766,0.00020029374,3.051364,8.461538461538462,8.461538461538462,225.97435897435898
53000,0.52270013,0.00020025623,3.3135643,9.166666666666666,9.166666666666666,178.39583333333334
54000,0.52220327,0.00020021872,3.2668228,9.090909090909092,9.090909090909092,188.79545454545453
55000,0.52175224,0.00020018121,3.377726,8.478260869565217,8.478260869565217,213.30434782608697
56000,0.52163726,0.00020014372,3.9288065,9.322033898305085,9.322033898305085,148.23728813559322
57000,0.5220976,0.00020010622,4.0776052,9.35483870967742,9.35483870967742,142.19354838709677
58000,0.522207,0.00020006871,3.8510401,9.090909090909092,9.090909090909092,164.2
59000,0.521782,0.00020003122,3.1795049,8.333333333333334,8.333333333333334,232.0
60000,0.5212007,0.00019999372,3.5874002,8.775510204081632,8.775510204081632,187.0408163265306
61000,0.52086085,0.00019995622,3.3373034,9.375,9.375,184.0
62000,0.5201592,0.00019991872,3.0607693,8.91304347826087,8.91304347826087,203.0
63000,0.520193,0.00019988122,3.9362574,9.137931034482758,9.137931034482758,146.58620689655172
64000,0.52042836,0.00019984372,3.3854065,8.88888888888889,8.88888888888889,183.73333333333332
65000,0.519906,0.0001998062,4.0411406,8.96551724137931,8.96551724137931,171.70689655172413
66000,0.51992166,0.00019976872,4.5911603,9.71830985915493,9.71830985915493,112.16901408450704
