obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.481583833694458,0.1571228802204132,0.1639088940674591,-7.761879920959473,0.5107021927833557,-0.08077574521303177,0.5415680408477783,-7.735598564147949,0.5497880578041077,0.016387905925512314,0.5946865081787109,-3.6305453777313232,-0.021356789395213127,0.6032264828681946,50.0,40.0,-49.92499923706055,-49.92499923706055,0.4683748185634613,0.4683748185634613,88.61064171791077,40.0,1,2000,22.57065247723787,7.435057163238525,0.7500813007354736,0.5404616594314575
0.4993543028831482,0.1554073989391327,0.13433062777208762,-13.470148086547852,2.1243112087249756,0.8972792625427246,0.09306371212005615,-13.338287353515625,2.3032705783843994,0.8053563833236694,0.29057422280311584,-7.148632049560547,0.13659219443798065,0.6212772130966187,50.0,80.0,-49.900001525878906,-49.900001525878906,0.5147814750671387,0.5147814750671387,170.06164574623108,80.0,2,4000,23.520882574362883,12.972430229187012,2.4244134426116943,0.6708869338035583
0.5011335611343384,0.16170024871826172,0.11456001552955852,-18.635051727294922,2.6397855281829834,-0.21508820354938507,0.8422049283981323,-18.581912994384766,2.719923257827759,-0.14578358829021454,0.784118115901947,-9.615593910217285,0.20530632138252258,0.6974173188209534,50.0,120.0,-49.900001525878906,-49.880001068115234,0.534415602684021,0.4898979663848877,247.75037789344788,120.0,3,6000,24.21792471525703,17.708396911621094,6.157092094421387,0.21019284427165985
0.5015963315963745,0.16103899478912354,0.10579425230886043,-20.64286994934082,4.812747478485107,0.29857179522514343,0.854117751121521,-20.420013427734375,4.929516792297363,0.4665646553039551,0.781502366065979,-12.42650032043457,0.139850452542305,0.7394638061523438,50.0,160.0,-49.90625,-49.900001525878906,0.4582575261592865,0.4582149386405945,329.5973756313324,160.0,4,8000,24.27203792104314,18.66925048828125,6.3916707038879395,0.1687658280134201
0.49912047386169434,0.16412249207496643,0.09203708190275892,-21.587757110595703,5.676181316375732,-0.0352913960814476,0.8747916221618652,-21.27734375,5.577050685882568,-0.0574415922164917,0.8482738137245178,-14.376028060913086,0.14042377471923828,0.7679011225700378,50.0,200.0,-49.915000915527344,-49.93000030517578,0.32419130206108093,0.4216337502002716,413.3496239185333,200.0,5,10000,24.19259489146382,19.6734676361084,4.8916449546813965,0.28527548909187317
0.48341116309165955,0.18058325350284576,0.08167823703026889,-22.141437530517578,4.8182172775268555,-0.05816095694899559,0.9358617663383484,-21.74785041809082,5.016474723815918,-0.045249782502651215,0.9217950105667114,-14.703291893005371,0.12264212220907211,0.8060122728347778,50.0,240.0,-49.920833587646484,-49.959999084472656,0.1959591805934906,0.395262748003006,501.82682251930237,240.0,6,12000,23.912631731713443,20.709875106811523,7.719918251037598,0.21403643488883972
0.4769335985183716,0.18046651780605316,0.08167823703026889,-21.864723205566406,6.054092884063721,-0.5359424352645874,0.7718296647071838,-21.149791717529297,5.913197040557861,-0.4702756106853485,0.77381831407547,-15.729002952575684,0.1359109878540039,0.8165457248687744,50.0,280.0,-49.92499923706055,-49.959999084472656,0.1959591805934906,0.37523800134658813,584.0067193508148,280.0,7,14000,23.972326920420503,19.856515884399414,7.207046985626221,0.1376277506351471
0.466933012008667,0.1797642707824707,0.09388702724900437,-21.744171142578125,4.779810905456543,-0.7728737592697144,0.578443706035614,-21.664798736572266,4.600771427154541,-0.7649114727973938,0.5961732864379883,-15.852458953857422,0.09903586655855179,0.8286082744598389,50.0,320.0,-49.91875076293945,-49.91999816894531,0.36551332473754883,0.39483973383903503,662.953307390213,320.0,8,16000,24.134429712683268,18.83861541748047,5.093794345855713,0.14992095530033112
0.4677300453186035,0.18101836740970612,0.08670309447319521,-21.310470581054688,3.7665653228759766,-0.30509528517723083,0.8988803029060364,-20.755712509155273,3.6043894290924072,-0.24917557835578918,0.8839487433433533,-15.596017837524414,0.08286723494529724,0.8343202471733093,50.0,360.0,-49.9194450378418,-49.90999984741211,0.4023679792881012,0.38967183232307434,746.531572341919,360.0,9,18000,24.11150534937566,18.143718719482422,6.027646541595459,0.17811335623264313
0.46706536412239075,0.18119914829730988,0.08006885308329467,-21.912837982177734,3.6824707984924316,-0.1770673543214798,0.9305543899536133,-21.67735481262207,3.6659839153289795,-0.1679852455854416,0.9299134612083435,-15.483024597167969,0.058338139206171036,0.8418542146682739,50.0,400.0,-49.90999984741211,-49.869998931884766,0.43943148851394653,0.38974350690841675,833.3796594142914,400.0,10,20000,23.998665883033702,18.156265258789062,4.276858329772949,0.22917038202285767
0.46613001823425293,0.17769385874271393,0.0849947009834283,-22.61111831665039,4.778322219848633,-0.11648331582546234,0.9243366718292236,-22.497087478637695,4.812667369842529,-0.1780325472354889,0.9175429344177246,-15.926361083984375,0.00935299415141344,0.8452837467193604,50.0,440.0,-49.91363525390625,-49.900001525878906,0.29999998211860657,0.3775464594364166,920.6230573654175,440.0,11,22000,23.896859658238682,19.571821212768555,4.954364776611328,0.1944134384393692
